Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2009-11-25,375,380.95,367.3,369.45,170273
2009-11-26,374,374.9,352,360.15,298710
2009-11-27,360.1,385,350,381.75,521794
2009-11-30,399,399,378,381.25,462992
2009-12-01,382.5,394.7,379,391.35,382268
2009-12-02,396,400,381,382.75,159804
2009-12-03,382,391,381.95,384.25,173826
2009-12-04,386,386,373.1,380.3,101603
2009-12-07,383,384.9,356.2,357.5,780297
2009-12-08,353,364.4,350.6,357.35,708714
2009-12-09,355.1,364,354,355.55,514870
2009-12-10,357.5,365.8,353.5,359.55,522612
2009-12-11,364.9,365.75,350,352.35,450736
2009-12-14,353,354.8,338.25,340.3,680962
2009-12-15,344.8,344.8,335.1,336.9,298092
2009-12-16,335,344.8,335,340,381918
2009-12-17,342.7,346.85,340.1,342.7,294321
2009-12-18,342.6,344,336.8,337.65,183294
2009-12-21,345,350,338,339.05,172940
2009-12-22,338,350,337,340.1,163587
2009-12-23,342.1,344.35,340.15,342.85,202269
2009-12-24,345.1,349,340.55,345.6,178462
2009-12-29,340.1,349,340.1,343,215173
2009-12-30,343.9,345.9,340,341.5,151832
2009-12-31,345,345,334.1,336.15,1102287
2010-01-04,339.7,342.9,337.5,339.05,388266
2010-01-05,344.95,361.85,342.55,359.95,1289963
2010-01-06,362.35,365,355,356.25,494067
2010-01-07,357,360.9,352.1,353.4,211183
2010-01-08,357.5,365,353.3,362.4,629245
2010-01-11,366.6,369.95,360.1,361.7,400404
2010-01-12,362.1,372.9,356.5,371.15,1304628
2010-01-13,374,377.8,365.1,368.95,1264928
2010-01-14,373.7,373.7,364.55,366.5,547798
2010-01-15,366.5,373.6,364.55,365.3,485635
2010-01-18,369.8,372,363.05,364.7,420545
2010-01-19,365,367.7,356.55,357.9,322018
2010-01-20,342.25,363.8,342.25,352.9,261822
2010-01-21,351,355.1,344,345.55,291869
2010-01-22,335.1,345,332,340.4,308435
2010-01-25,311.55,349,311.55,338.85,151978
2010-01-27,340,340,317.5,321.4,475539
